date,name,pos,id,Oppt,points,pointsDist,HomeAway,meanPoints,deviationPoints,mean10Day,mean5Day,OpptAverage,OpptAverage5
20160707,Chad Bettis,P,518452,phi,41,0.6724137931,0,0.2016145129,0.7211339496,0.0967741935,0.421875,0.6560453121,0.0193750853
20160707,Danny Duffy,P,518633,sea,34,0.5517241379,0,0.7693553037,0.6673508272,0.8673835125,1,0.3409246559,0.4191567745
20160707,Doug Fister,P,450729,oak,24,0.3793103448,0,0.4649708368,0.3973211615,0.2365591398,0.265625,0.6261984834,0.5339063992
20160707,Drew Pomeranz,P,519141,lad,51,0.8448275862,1,0.8780244395,0.4545526068,0.8387096774,0.75,0,0.3396097694
20160707,Hector Santiago,P,502327,tam,60,1,1,0.2642345479,0.992713733,0.5161290323,0.796875,0.538210987,0.8044753718
20160707,Ivan Nova,P,467100,cle,34,0.5517241379,1,0.2782284713,0.2583793247,0.3978494624,0.5234375,0.1113068424,0.8769272752
20160707,James Paxton,P,572020,kan,24,0.3793103448,1,0.5564525072,0,0.376344086,0.546875,0.3947740786,0.5921680993
20160707,Jason Hammel,P,434628,atl,27,0.4310344828,0,0.4899203832,0.7033788685,0,0,0.7539754889,0.8837494883
20160707,Justin Verlander,P,434378,tor,26,0.4137931034,1,0.8069282118,1,0.5053763441,0.984375,0.3057291865,0
20160707,Rich Hill,P,448179,hou,57,0.9482758621,1,1,0.6212365408,0.5161290323,0.609375,0.4615334055,0.387228817
20160707,Trevor Bauer,P,545333,nyy,14,0.2068965517,0,0.7671375663,0.8919122596,1,0.75,0.4348185133,0.4244781007
20160707,Tyler Duffey,P,608648,tex,57,0.9482758621,1,0.2323213058,0.9556053454,0.7419354839,0.515625,0.3764952403,1
20160707,Addison Russell,SS,608365,atl,3,0.0592885375,0,0.5512707202,0.6675157793,0.6990237271,0.931372549,0.7539754889,0.7764325102
20160707,Alcides Escobar,SS,444876,sea,3,0.0592885375,0,0.1196046247,0,0.3696984676,0.2135076253,0.3409246559,0.3682570127
20160707,Aledmys Diaz,SS,649557,pit,12.2,0.2411067194,0,0.901895709,0.656549186,0.6863922039,0.6718954248,0.702204752,0.1831695037
20160707,Alexei Ramirez,SS,493351,lad,12.5,0.2470355731,1,0,0.2794088352,0.2246663371,0.1089324619,0,0.2983696955
20160707,Andrelton Simmons,SS,592743,tam,9.2,0.1818181818,1,0.0135820061,0.1685682732,0.5887296095,0.8531590414,0.538210987,0.7067849437
20160707,Asdrubal Cabrera,SS,452678,was,27.9,0.5513833992,0,0.2881441532,0.268549787,0.4465521503,0.3543936093,0.1106876333,0.2826660273
20160707,Brad Miller,SS,543543,laa,24.7,0.4881422925,0,0.5115528219,0.5535221204,0.4458724666,0.3233115468,0.71073839,0.4174058979
20160707,Carlos Correa,SS,621043,oak,3,0.0592885375,0,0.8130444978,0.8821383725,0.5941670786,0.2997821351,0.6261984834,0.4690721649
20160707,Corey Seager,SS,608369,sdg,0,0,0,0.9411085659,0.9000896356,0.6094908552,0.5359477124,0.8265683024,0.6659074562
20160707,Danny Espinosa,SS,457787,nym,0,0,1,0.6353781497,0.8829669406,1,1,0.278094866,0.205106689
20160707,Didi Gregorius,SS,544369,cle,24.9,0.4920948617,1,0.4056203892,0.4462534589,0.6594167079,0.4673202614,0.1113068424,0.7704387437
20160707,Eduardo Nunez,SS,456488,tex,24.7,0.4881422925,1,0.9860752872,0.7756230476,0.6480474543,0.625708061,0.3764952403,0.8785662911
