date,name,pos,id,Oppt,points,pointsDist,HomeAway,meanPoints,variancePoints,deviationPoints,mean10Day,mean5Day,meanHomeAway,meanRightLeft,OpptWins,OpptAverage,OpptPointsAverage10,OpptAverage5,OpptPosTotalPointsAverage,OpptPosTotalPointsAverage10
20160613,Mike Napoli,1B,435063,kan,0,0,1,0.8388099729,0.4699856258,0.5502821476,0.4695898161,0.4674479167,0.4861288345,0.9875416785,0.56,0.3732831481,0.5147219193,0.3773623455,0.1035806486,0.5147219193
20160613,Mitch Moreland,1B,519048,oak,21.7,0.5725593668,1,0.3595131439,0.297836308,0.3737842796,0.6099717115,0.8677083333,0.237191403,0.3826152136,0.32,0.4649486058,0.5058420315,0,0.6426591047,0.5058420315
20160613,Paul Goldschmidt,1B,502671,lad,18.7,0.4934036939,0,0.9159053401,0.7700366256,0.8182835143,0.7057991513,0.5833333333,1,0.9460053245,0.6,0.131099717,0.2726281352,0.432526305,0.113841517,0.2726281352
20160613,Ryan Zimmerman,1B,475582,chc,0,0,0,0.5860544619,0.5500449788,0.6260098026,0.2643564356,0.26953125,0.5746611336,0.6687689007,1,0,0.4743729553,0.32730616,0,0.4743729553
20160613,Tommy Joseph,1B,571830,tor,0,0,1,0.8471354474,0.8971769971,0.9208310696,0.7368155183,0.71875,0.9741667755,0.8980201091,0.68,0.3568100324,0.935538592,0.8899785473,0.1571330579,0.935538592
20160613,Wil Myers,1B,571976,mia,21.7,0.5725593668,0,0.8694447719,0.9782044244,0.9834770136,1,1,0.8816052571,0.6691436843,0.56,0.3439466827,0.7491821156,0.5835121054,0.4691338503,0.7491821156
20160613,Yonder Alonso,1B,475174,tex,3.5,0.092348285,0,0,0,0,0.3521923621,0.15625,0,0,0.84,0.284020278,0.4392342179,0.4468280723,0.1990500985,0.4392342179
20160613,Avisail Garcia,RF,541645,det,6.5,0.231316726,0,0.3880748549,0.5595408431,0.6840005136,0.2252252252,0.2567567568,0.3361076233,0.1620416468,0.56,0.4857232116,0.1422219951,0.0768209214,0.3643301333,0.1422219951
20160613,Bryce Harper,RF,547180,chc,3,0.1067615658,0,0.9167220265,0.5341823032,0.6628636573,0.4211711712,0.4155405405,0.8685201794,0.5756454103,1,0,0.0433360589,0.32730616,0,0.0433360589
20160613,Ezequiel Carrera,RF,485567,phi,6,0.2135231317,0,0.4320201552,0.4115968265,0.5538799001,0.3806306306,0.3806306306,0.8228699552,0.283742442,0.44,0.4477038517,0.4779742437,0.9106139544,0.5149521816,0.4779742437
20160613,Gregor Blanco,RF,453923,mil,19,0.6761565836,0,0.3077299106,0.2290803871,0.3620822646,0.1418918919,0.0675675676,0.4721704036,0.2056582536,0.48,0.5978228822,0.4131234669,0.3174992338,1,0.4131234669
