date,name,pos,id,Oppt,points,pointsDist,HomeAway,meanPoints,deviationPoints,OpptAverage
20160702,Adrian Gonzalez,1B,408236,col,16.2,0.2234482759,0,0.2779185093,0.2948354013,0.6927026734
20160702,Anthony Rizzo,1B,519203,nym,25.2,0.3475862069,1,0.9347101169,0.7792225743,0.2269517333
20160702,Brandon Belt,1B,474832,ari,3,0.0413793103,1,0.6403045525,0.4863752296,0.4734876853
20160702,Brandon Moss,1B,461235,mil,9,0.124137931,0,0.7450946718,0.6628687827,0.5717361461
20160702,C.J. Cron,1B,543068,bos,72.5,1,1,0.3692127145,0.4914894867,0.3243150358
20160702,Carlos Santana,1B,467793,tor,24.7,0.3406896552,1,0.6719762999,0.6400221053,0.2690513719
20160702,Chris Carter,1B,474892,stl,3,0.0413793103,1,0.5666423368,0.7214889881,0.1578542097
20160702,Chris Davis,1B,448801,sea,34.9,0.4813793103,1,0.778512444,0.74540218,0.2438668682
20160702,Clint Robinson,1B,519208,cin,0,0,0,0.2485509424,0.1946250771,1
20160702,David Freese,1B,501896,oak,6.5,0.0896551724,1,0.5499262948,0.3390694798,0.4311173352
20160702,Edwin Encarnacion,1B,429665,cle,28.7,0.395862069,0,0.8715097391,0.9732745785,0.0314876238
20160702,Eric Hosmer,1B,543333,phi,3,0.0413793103,1,0.6040816911,0.4313406991,0.5062088122
20160702,Freddie Freeman,1B,518692,mia,31.4,0.4331034483,0,0.5102400069,0.5444859598,0.303058184
20160702,Hanley Ramirez,1B,434670,laa,12,0.1655172414,0,0.5272136591,0.3067305769,0.4979019261
20160702,James Loney,1B,425766,chc,0,0,0,0.4108453909,0.6428771641,0
20160702,Jarrod Saltalamacchia,1B,457454,tam,9.7,0.1337931034,1,0.5702202568,0.5141999762,0.3421397509
20160702,Joe Mauer,1B,408045,tex,18.6,0.2565517241,0,0.3178337842,0.1404465469,0.1804935947
20160702,Jose Abreu,1B,547989,hou,12.2,0.1682758621,1,0.4126486626,0.2808118054,0.3289326842
20160702,Justin Bour,1B,571506,atl,3,0.0413793103,1,0.5474217509,0.7239118044,0.4872290722
20160702,Logan Morrison,1B,489149,det,6.5,0.0896551724,0,0.2974110171,0.4176937806,0.457218275
20160702,Mark Reynolds,1B,448602,lad,0,0,1,0.4821175561,0.3721978092,0.0417722718
20160702,Mark Teixeira,1B,407893,sdg,0,0,1,0,0.2454775808,0.5537419356
20160702,Marwin Gonzalez,1B,503556,chw,6.5,0.0896551724,0,0.441186152,0.3469824668,0.2917932324
20160702,Mitch Moreland,1B,519048,min,3,0.0413793103,1,0.2572953788,0.2607349868,0.6313098295
20160702,Paul Goldschmidt,1B,502671,sfo,0,0,0,0.8875101971,0.6290432639,0.2668274771
20160702,Tommy Joseph,1B,571830,kan,0,0,0,0.3423210682,0.6113965688,0.2765276777
20160702,Wil Myers,1B,571976,nyy,12.2,0.1682758621,0,1,1,0.3180779142
20160702,Yonder Alonso,1B,475174,pit,3,0.0413793103,0,0.0281081391,0,0.5283052187
20160629,Adam Lind,1B,452252,pit,6.5,0.1715039578,0,0.4285411426,0.8579246206,0.5874715832
20160629,Adrian Gonzalez,1B,408236,mil,3,0.0791556728,1,0.3235859457,0.3506222314,0.6048302927
20160629,Anthony Rizzo,1B,519203,cin,25.7,0.6781002639,1,1,0.8092242724,1
20160629,Brandon Belt,1B,474832,oak,12.2,0.3218997361,1,0.6716934732,0.5179896541,0.4391361605
20160629,C.J. Cron,1B,543068,hou,9,0.2374670185,0,0.3734771179,0.4850175366,0.3731841572
