date,name,pos,id,Oppt,points,pointsDist,HomeAway,meanPoints,variancePoints,deviationPoints,mean10Day,mean5Day,meanHomeAway,meanRightLeft,OpptWins,OpptAverage,OpptPointsAverage10,OpptAverage5,OpptPosTotalPointsAverage,OpptPosTotalPointsAverage10,OpptPosTotalPointsAverage5,opptPitchMean,opptPitchVar,opptPitchMean10,opptPitchMean5,opptPitchMeanHA
20160510,Danny Espinosa,SS,457787,det,9.5,0.2722063037,0,0.1715370057,0.1273556553,0.2061483306,0.3731407942,0.3346704871,0.0710479574,0.190391146,0.4117647059,0.5997586126,0.4398475776,1,0.4502353597,0.4398475776,0.5706401766,0.6144578313,0.1058923193,0.5,0.4444444444,0.5537190083
20160510,Didi Gregorius,SS,544369,kan,25.7,0.7363896848,0,0.1059088162,0.17187666,0.2658453813,0.2407942238,0.2085959885,0.2780319716,0.0205250471,0.4705882353,0.3494962262,0.3293413174,0.2505607177,0,0.3293413174,0.4525386313,0.3951807229,0.6548192771,0.1568627451,0,0.6391190083
20160510,Eduardo Nunez,SS,456488,bal,9.2,0.2636103152,0,0.825757801,0.3259875508,0.4448921849,0.6873646209,0.3190066858,0.6157513321,0.7607903859,0.6470588235,0.3210674367,0.4525235244,0.3388337071,0.1576375518,0.4525235244,0.5485651214,0.7228915663,0.0790662651,0.5882352941,0.6388888889,0.6776859504
20160510,Elvis Andrus,SS,462101,chw,12.4,0.3553008596,0,0.3538650574,0.0799640423,0.136828383,0.3735258724,0.5315186246,0.3869769094,0.4252195028,0.9411764706,0,0.0898203593,0.0043255367,0.0839844107,0.0898203593,0.2466887417,0.6506024096,0.62562751,0.5588235294,0.6111111111,0.7438016529
20160510,Erick Aybar,SS,430947,phi,0,0,0,0,0,0,0.206291903,0.2005730659,0.1826927176,0,0.6470588235,0.2795206741,0.4523679913,0.2954715369,0.5000488537,0.4523679913,0.7612214864,0.4337349398,0.1524849398,0.3529411765,0.2777777778,0.2809917355
20160510,Francisco Lindor,SS,596019,hou,9.7,0.2779369628,1,0.575145912,0.3453634987,0.4651453788,0.7643802647,0.3679083095,0.5328596803,0.4797652772,0.3529411765,0.5930646486,0.062239158,0.1139057994,0.1632872298,0.062239158,0,0.6506024096,0.0677710843,0.5294117647,0.6111111111,0.6776859504
20160510,Freddy Galvis,SS,520471,atl,6.5,0.1862464183,1,0.3224828324,0.2927068138,0.4090948821,0.4871239471,0.2679083095,0.2806394316,0.3261485405,0,0.6949723266,0.2895248464,0.5588486596,0.3575704978,0.2895248464,0.5029433407,0.6843373494,0.3438253012,0.5588235294,1,0.5344347107
20160510,Jimmy Rollins,SS,276519,tex,30.8,0.88252149,1,0.3651515602,0.1202026083,0.1961048013,0.5048375451,0.4431709647,0.4137193606,0.4692080305,0.6470588235,0.2638719474,0.5403133128,0.3841717398,0.2254855192,0.5403133128,0.3465783664,0.5140554217,0.9467034806,0.0784313725,0.1851851852,0.7024793388
20160510,Jonathan Villar,SS,542340,mia,31.4,0.899713467,1,0.5204772239,0.5184848733,0.6306351616,0.7942238267,0.3538681948,0.4683268206,0.3294212869,0.5882352941,0.2249480246,0.7038649973,0.0810637616,0.4844444189,0.7038649973,0.4994481236,0.763053012,0.7546854083,1,0.962962963,0.7768595041
20160510,Kelby Tomlinson,SS,605509,tor,9,0.2578796562,0,0.2101826253,0.1085303597,0.1794142553,0.6801444043,0.4297994269,0,0.2155437862,0.5882352941,0.2413476506,0.0017540676,0.1509131689,0.1025676742,0.0017540676,0.380794702,0.8393566265,0.1125857597,0.7549019608,0.8240740741,0.6721768595
20160510,Ketel Marte,SS,606466,tam,9.2,0.2636103152,0,0.393174589,0.593627038,0.6955774482,0.8089530686,0.8515759312,0.4742451155,0.6434026006,0.4705882353,0.1382224324,0.3890660238,0.0339634732,0.2937135873,0.3890660238,0.2875275938,0.9477903614,0.3135458501,0.6176470588,0.6111111111,1
20160510,Manny Machado,SS,592518,min,33.9,0.9713467049,1,0.975831624,0.9943289795,0.99616725,1,1,0.4618117229,0.8873101895,0.0588235294,0.5520239685,1,0.5923849194,0.4395680187,1,0.7178072112,0.6987951807,0.5440512048,0.568627451,0.962962963,0.3305785124
20160510,Marcus Semien,SS,543760,bos,12.7,0.3638968481,1,0.3590277158,0.5313379873,0.641996896,0.5371841155,0.5,0.2712326821,0.2806819981,0.7058823529,0.2543625999,0.575939031,0.1813521307,0.4011632919,0.575939031,0.7770419426,0,0,0,0.1111111111,0.132231405
20160510,Nick Ahmed,SS,605113,col,15.7,0.4498567335,1,0.1350317588,0.2422855039,0.3521238829,0,0.0229226361,0.1798365897,0.0161261943,0.4705882353,0.7415392945,0.2780499607,0.684556232,0.8032979096,0.2780499607,0.2919426049,0.4457831325,0.3958019578,0.362745098,0.4537037037,0.132231405
20160510,Trevor Story,SS,596115,ari,0,0,0,1,1,1,0.9779061372,0.8148997135,0.8300746004,0.9698766562,0.5294117647,0.6400754422,0.8954817637,0.0823454021,0.7674643394,0.8954817637,0.4690949227,0.6746987952,1,0.7843137255,0.4259259259,0.4132231405
20160510,Troy Tulowitzki,SS,453064,sfo,34.9,1,1,0.2293171616,0.3839699136,0.5043276841,0.1771359807,0.1318051576,0.2922415631,0.3400401175,0.5882352941,0.6627871731,0.4445049295,0.1501121435,0.5113994698,0.4445049295,0.2406181015,0.3012048193,0.1454254518,0.0882352941,0.1944444444,0.3099173554
20160510,Xander Bogaerts,SS,593428,oak,15.9,0.4555873926,0,0.7081661167,0.3824383951,0.5028014045,0.7653429603,0.5856733524,0.6203339254,0.0667130012,0.4117647059,0.5062358418,0.8209036473,0.7555270747,0.3643950323,0.8209036473,1,0.3975903614,0.0381212349,0.3235294118,0.5,0.132231405
20160510,Adrian Beltre,3B,134181,chw,13,0.3475935829,0,0.5233777778,0.5396697558,0.6682406999,0.5285532995,0.6953199618,0.3756727163,0.7693695758,0.9411764706,0,0.2698230668,0.0043255367,0,0.2698230668,0.1605553578,0.6506024096,0.62562751,0.6195652174,0.6111111111,0.8490566038
20160510,Anthony Rendon,3B,543685,det,9,0.2406417112,0,0.3952296296,0.0972485987,0.1845110044,0.5152284264,0.5310410697,0.2237961,0.5800131756,0.4117647059,0.5997586126,0.6185288336,1,0.3099906905,0.6185288336,0.6048415806,0.6144578313,0.1058923193,0.5543478261,0.4444444444,0.6320754717
20160510,Brett Wallace,3B,477165,chc,0,0,1,0.2284938272,0.2775031927,0.4186516209,0.3908629442,0.3247373448,0.0517748837,0,1,0.0288002124,0.2292758847,0.6645840009,0.2647245763,0.2292758847,0.4827340691,1,0.1291101908,1,0.9259259259,0.9119490566
20160510,Chase Headley,3B,452104,kan,6.5,0.1737967914,0,0.0058271605,0.0391167877,0.0834974331,0.0844815083,0.3438395415,0.1031770069,0.4307421304,0.4705882353,0.3494962262,0.4902522936,0.2505607177,0.4509183869,0.4902522936,0.4061943752,0.3951807229,0.6548192771,0.1739130435,0,0.7295603774
20160510,David Wright,3B,431151,lad,3,0.0802139037,1,0.6778271605,0.5057942573,0.6394953788,0.6709572154,0.6578319007,0.678618301,0.4368000458,0.5294117647,0.2369744343,0.2898333645,0.1063761615,0.2947062529,0.2898333645,0.0911356355,0.5542168675,0.4047439759,0.75,0.5555555556,0.9433962264
