# date,plyr,pos,id,team,pts,ptsDist,learned,pointsRank,learnedRank,rankCompare
20160416,Adrian Gonzalez,1B,408236,sfo,0,0.0,0.31058236866,23,24,True
20160416,Anthony Rizzo,1B,519203,col,27,0.9,0.313619896786,2,12,False
20160416,Brandon Belt,1B,474832,lad,9,0.3,0.31072251948,13,23,False
20160416,Byungho Park,1B,666560,laa,21,0.7,0.313970535674,3,11,False
20160416,C.J. Cron,1B,543068,min,6,0.2,0.317307672537,18,5,False
20160416,Chris Carter,1B,474892,pit,0,0.0,0.31219215078,24,16,False
20160416,Chris Davis,1B,448801,tex,21,0.7,0.311454627967,4,21,False
20160416,Eric Hosmer,1B,543333,oak,3,0.1,0.311661538694,21,19,True
20160416,Freddie Freeman,1B,518692,mia,9,0.3,0.314447762674,14,8,False
20160416,Hanley Ramirez,1B,434670,tor,9,0.3,0.310356396459,15,25,False
20160416,Joey Votto,1B,458015,stl,12,0.4,0.315413657616,10,6,False
20160416,John Jaso,1B,444379,mil,6,0.2,0.313997621546,19,10,False
20160416,Jose Abreu,1B,547989,tam,3,0.1,0.317727528074,22,3,False
20160416,Justin Bour,1B,571506,atl,30,1.0,0.317683667515,1,4,True
20160416,Lucas Duda,1B,446263,cle,0,0.0,0.318292436029,25,2,False
20160416,Mark Reynolds,1B,448602,chc,6,0.2,0.30941910176,20,26,False
20160416,Mark Teixeira,1B,407893,sea,9,0.3,0.313232495056,16,15,True
20160416,Miguel Cabrera,1B,408234,hou,15,0.5,0.313297931952,8,14,False
20160416,Mike Napoli,1B,435063,nym,15,0.5,0.311830009498,9,18,False
20160416,Mitch Moreland,1B,519048,bal,18,0.6,0.31150767637,5,20,False
20160416,Paul Goldschmidt,1B,502671,sdg,12,0.4,0.314480179523,11,7,False
20160416,Ryan Howard,1B,429667,was,0,0.0,0.311108301274,26,22,False
20160416,Ryan Zimmerman,1B,475582,phi,9,0.3,0.311946398397,17,17,True
20160416,Tyler White,1B,643603,det,18,0.6,0.313397864412,6,13,False
20160416,Wil Myers,1B,571976,ari,18,0.6,0.314428388915,7,9,True
20160416,Yonder Alonso,1B,475174,kan,12,0.4,0.318764723882,12,1,False
