# date,plyr,pos,id,team,pts,ptsDist,learned,pointsRank,learnedRank,rankCompare
20160416,Adrian Gonzalez,1B,408236,sfo,0,0.0,0.37597411888,23,22,True
20160416,Anthony Rizzo,1B,519203,col,27,0.9,0.378443325608,2,7,False
20160416,Brandon Belt,1B,474832,lad,9,0.3,0.375582375861,13,24,False
20160416,Byungho Park,1B,666560,laa,21,0.7,0.377281992025,3,16,False
20160416,C.J. Cron,1B,543068,min,6,0.2,0.378663665125,18,6,False
20160416,Chris Carter,1B,474892,pit,0,0.0,0.377308154573,24,15,False
20160416,Chris Davis,1B,448801,tex,21,0.7,0.377448873648,4,14,False
20160416,Eric Hosmer,1B,543333,oak,3,0.1,0.376272817736,21,19,True
20160416,Freddie Freeman,1B,518692,mia,9,0.3,0.377487145157,14,13,True
20160416,Hanley Ramirez,1B,434670,tor,9,0.3,0.375266269033,15,25,False
20160416,Joey Votto,1B,458015,stl,12,0.4,0.378433882567,10,8,True
20160416,John Jaso,1B,444379,mil,6,0.2,0.377085304167,19,17,True
20160416,Jose Abreu,1B,547989,tam,3,0.1,0.379139142184,22,3,False
20160416,Justin Bour,1B,571506,atl,30,1.0,0.379648288984,1,2,True
20160416,Lucas Duda,1B,446263,cle,0,0.0,0.379033936259,25,4,False
20160416,Mark Reynolds,1B,448602,chc,6,0.2,0.374159317927,20,26,False
20160416,Mark Teixeira,1B,407893,sea,9,0.3,0.378956705295,16,5,False
20160416,Miguel Cabrera,1B,408234,hou,15,0.5,0.377974449899,8,11,True
20160416,Mike Napoli,1B,435063,nym,15,0.5,0.376191539536,9,20,False
20160416,Mitch Moreland,1B,519048,bal,18,0.6,0.37610311229,5,21,False
20160416,Paul Goldschmidt,1B,502671,sdg,12,0.4,0.378107002129,11,9,True
20160416,Ryan Howard,1B,429667,was,0,0.0,0.375886542708,26,23,True
20160416,Ryan Zimmerman,1B,475582,phi,9,0.3,0.376638923937,17,18,True
20160416,Tyler White,1B,643603,det,18,0.6,0.378018424394,6,10,False
20160416,Wil Myers,1B,571976,ari,18,0.6,0.377709961353,7,12,False
20160416,Yonder Alonso,1B,475174,kan,12,0.4,0.379852762578,12,1,False
