# date,plyr,pos,id,team,pts,ptsDist,learned,pointsRank,learnedRank,rankCompare
20160416,Adrian Gonzalez,1B,408236,sfo,0,0.0,0.302705307074,23,23,True
20160416,Anthony Rizzo,1B,519203,col,27,0.9,0.308666878389,2,8,False
20160416,Brandon Belt,1B,474832,lad,9,0.3,0.302321929617,13,24,False
20160416,Byungho Park,1B,666560,laa,21,0.7,0.307668932457,3,12,False
20160416,C.J. Cron,1B,543068,min,6,0.2,0.311408958226,18,5,False
20160416,Chris Carter,1B,474892,pit,0,0.0,0.305093092212,24,16,False
20160416,Chris Davis,1B,448801,tex,21,0.7,0.304343067927,4,18,False
20160416,Eric Hosmer,1B,543333,oak,3,0.1,0.303681188437,21,20,True
20160416,Freddie Freeman,1B,518692,mia,9,0.3,0.307889368351,14,11,True
20160416,Hanley Ramirez,1B,434670,tor,9,0.3,0.302045250811,15,25,False
20160416,Joey Votto,1B,458015,stl,12,0.4,0.310028150904,10,6,False
20160416,John Jaso,1B,444379,mil,6,0.2,0.306494019663,19,15,False
20160416,Jose Abreu,1B,547989,tam,3,0.1,0.31189866949,22,4,False
20160416,Justin Bour,1B,571506,atl,30,1.0,0.313065127731,1,2,True
20160416,Lucas Duda,1B,446263,cle,0,0.0,0.312378666556,25,3,False
20160416,Mark Reynolds,1B,448602,chc,6,0.2,0.299925317469,20,26,False
20160416,Mark Teixeira,1B,407893,sea,9,0.3,0.308014795694,16,9,False
20160416,Miguel Cabrera,1B,408234,hou,15,0.5,0.307284318815,8,14,False
20160416,Mike Napoli,1B,435063,nym,15,0.5,0.304017567285,9,19,False
20160416,Mitch Moreland,1B,519048,bal,18,0.6,0.3033774991,5,21,False
20160416,Paul Goldschmidt,1B,502671,sdg,12,0.4,0.308672143763,11,7,False
20160416,Ryan Howard,1B,429667,was,0,0.0,0.30296798254,26,22,False
20160416,Ryan Zimmerman,1B,475582,phi,9,0.3,0.304970037341,17,17,True
20160416,Tyler White,1B,643603,det,18,0.6,0.307372634537,6,13,False
20160416,Wil Myers,1B,571976,ari,18,0.6,0.30792486673,7,10,True
20160416,Yonder Alonso,1B,475174,kan,12,0.4,0.313482920636,12,1,False
