# date,plyr,pos,id,team,pts,ptsDist,learned,pointsRank,learnedRank,rankCompare
20160710,A.J. Griffin,P,456167,min,6,0.0131578947,0.360855781212,24,10,False
20160710,Anibal Sanchez,P,434671,tor,15,0.1315789474,0.334339958715,20,24,False
20160710,Archie Bradley,P,605151,sfo,30,0.3289473684,0.353140649577,11,16,False
20160710,Carlos Carrasco,P,471911,nyy,20,0.1973684211,0.374104127749,18,2,False
20160710,Chris Tillman,P,501957,laa,45,0.5263157895,0.367740833728,6,5,True
20160710,Christian Friedrich,P,543184,lad,27,0.2894736842,0.349672606295,14,18,False
20160710,Dallas Keuchel,P,572971,oak,33,0.3684210526,0.359729327838,9,11,True
20160710,David Price,P,456034,tam,66,0.8026315789,0.37211107109,3,3,True
20160710,Gio Gonzalez,P,461829,nym,32,0.3552631579,0.35151150113,10,17,False
20160710,Jake Odorizzi,P,543606,bos,15,0.1315789474,0.347438004827,21,20,True
20160710,James Shields,P,448306,atl,23,0.2368421053,0.347590305023,16,19,True
20160710,John Lackey,P,407793,pit,30,0.3289473684,0.36361761806,12,8,False
20160710,Jon Niese,P,477003,chc,5,0.0,0.353141019627,25,15,False
20160710,Junior Guerra,P,448855,stl,23,0.2368421053,0.371016526431,17,4,False
20160710,Kenta Maeda,P,628317,sdg,69,0.8421052632,0.366484661766,2,7,False
20160710,Madison Bumgarner,P,518516,ari,81,1.0,0.381876904089,1,1,True
20160710,Masahiro Tanaka,P,547888,cle,20,0.1973684211,0.357926633094,19,12,False
20160710,Mike Foltynewicz,P,592314,chw,63,0.7631578947,0.344808185052,4,21,False
20160710,Mike Leake,P,502190,mil,60,0.7236842105,0.34473152996,5,22,False
20160710,R.A. Dickey,P,285079,det,45,0.5263157895,0.357348933847,7,13,False
20160710,Sean Manaea,P,640455,hou,39,0.4473684211,0.340601859141,8,23,False
20160710,Steven Matz,P,571927,was,27,0.2894736842,0.367494936685,15,6,False
20160710,Tom Koehler,P,543408,cin,9,0.0526315789,0.35408187073,22,14,False
20160710,Tommy Milone,P,543548,tex,30,0.3289473684,0.331821139303,13,25,False
20160710,Tyler Chatwood,P,543022,phi,9,0.0526315789,0.36152665632,23,9,False
20160710,A.J. Pierzynski,C,150229,chw,6,0.1570680628,0.341988346205,19,28,False
20160710,Austin Romine,C,519222,cle,15.7,0.4109947644,0.348969055462,7,25,False
20160710,Bobby Wilson,C,435064,min,6.5,0.1701570681,0.3569171999,13,19,False
20160710,Buster Posey,C,457763,ari,15.7,0.4109947644,0.376853071856,8,2,False
20160710,Cameron Rupp,C,519237,col,38.2,1.0,0.358092714898,1,16,False
20160710,Chris Iannetta,C,455104,kan,3,0.0785340314,0.350868210448,21,23,True
20160710,Curt Casali,C,592200,bos,3,0.0785340314,0.347707131636,22,26,False
20160710,Derek Norris,C,519083,lad,18.7,0.4895287958,0.357721835023,5,17,False
